wxl_survey,qid_s
1999,c20
1969 - 3,c36
1999,c21
2001,b13
1999,c11
1996,ccc20
2003,a37
2001,a59
Apr-19,v75
1988,f96
2006,b52
1969 - 1,b56
2006,c32
2001,a23
1987*,a27
