
                                                           CODEBOOK


                                                      Election Study 2001

                                                           CONTENTS

****    General

****    Support for following Israeli concessions in Clinton's proposal

      a11                Palestinian State with 95% of Gaza Strip and West Bank,Israel will keep settlement blocks

              VALUE  LABEL
                  1  Strongly oppose
                  2  Oppose
                  3  Support
                  4  Strongly support

              Data type: numeric
              Record/column: 1/11

      a12                Israel will give the Palestinians Jerusalem's Arab neighbourhoods

              VALUE  LABEL
                  1  Strongly oppose
                  2  Oppose
                  3  Support
                  4  Strongly support

              Data type: numeric
              Record/column: 1/12

      a13                Temple Mount will be given to Palestinians,Western Wall will stay in Israeli hands

              VALUE  LABEL
                  1  Strongly oppose
                  2  Oppose
                  3  Support
                  4  Strongly support

              Data type: numeric
              Record/column: 1/13

      a14                A limited number of Palestinian refugees will be allowed to return to Israel

              VALUE  LABEL
                  1  Strongly oppose
                  2  Oppose
                  3  Support
                  4  Strongly support

              Data type: numeric
              Record/column: 1/14

      a15                Israel will give up control in the Jordan Valley over a few years

              VALUE  LABEL
                  1  Strongly oppose
                  2  Oppose
                  3  Support
                  4  Strongly support

              Data type: numeric
              Record/column: 1/15

      a16                Support for Peace agreeement with above conditions

              VALUE  LABEL
                  1  Strongly oppose
                  2  Oppose
                  3  Support
                  4  Strongly support

              Data type: numeric
              Record/column: 1/16

      a17                Will a Palestinian Peace agreement end the Arab-Israeli conflict?

              VALUE  LABEL
                  1  Certanly will not end
                  2  Will not end
                  3  Will end
                  4  Certanly will end

              Data type: numeric
              Record/column: 1/17

      a18                Estimate Israeli public support for this agreement (percentage)

              Data type: numeric
              Record/columns: 1/18-19

      a20                Forecast future public opinion towards agreement

              VALUE  LABEL
                  1  Support will grow
                  2  Opposition will grow

              Data type: numeric
              Record/column: 1/20

      a21                Agreement with government encouragement of Arab emmigration

              VALUE  LABEL
                  1  Certanly do not agree
                  2  Do not agree
                  3  Agree
                  4  Certanly agree

              Data type: numeric
              Record/column: 1/21

      a22                Support for the returning of areas of the Golan Heights to Syria for peace

              VALUE  LABEL
                  1  Give back none
                  2  Give back small part
                  3  Give back large part
                  4  Give back all

              Data type: numeric
              Record/column: 1/22

      a23                Evaluation of arab aspirations

